"","number","Assignees","City","Country","date","year"
"1422","4,004,940","Celanese Canada Limited ","Montreal"," CA","       January 13",1975
"1423","5,667,962","Case Western Reserve University ","Cleveland"," OH","       March 18",1996
"1424","7,674,820","Cardiome Pharma Corp.","Vancouver"," CA","       August 9",2004
"1425","7,041,807","Caprion Pharmaceuticals, Inc.","Saint Laurent"," CA","       June 23",2000
"1426","8,097,068","Cansolv Technologies Inc.","Montreal"," Quebec, CA","       November 6",2008
"1427","5,993,812","Cangene Corporation ","Winnipeg"," CA","       April 7",1997
"1428","8,143,005","Cancer Care Ontario ","Toronto"," Ontario, CA","       June 5",2007
"1429","8,143,005","McGill University ","Montreal"," Quebec, CA","       June 5",2007
"1430","5,976,283","Canbro Inc.","Valleyfield"," CA","       October 29",1997
"1431","4,088,653","Canadian Patents and Developments Limited ","Ottawa"," CA","       August 23",1976
"1432","4,720,287","Canadian Patents and Development Ltd.","Ottawa"," CA","       July 13",1986
"1433","4,654,145","Canadian Patents and Development Limited ","Ottawa"," CA","       June 5",1985
"1434","4,166,116","Canadian Patents and Development Limited ","Ottawa"," CA","       November 11",1977
"1435","4,009,276","Canadian Patents and Development Limited ","Ottawa"," CA","       November 3",1975
"1436","4,112,036","Canadian Patents and Development Limited ","Ottawa"," CA","       June 1",1976
"1437","4,042,353","Canadian Patents and Development Limited ","Ottawa"," CA","       January 27",1975
"1438","4,929,553","Canadian Patents & Development Ltd.","Ottawa"," CA","       May 29",1987
"1439","4,874,393","Canadian Patent and Development Ltd.","Ottawa"," CA","       June 29",1987
"1440","4,246,111","Canadian Liquid Air Ltd/Air Liquide Canada LTEE ","Montreal"," CA","       November 7",1979
"1441","4,284,510","Canadian Liquid Air Ltd./Air Liquide Canada LTEE.","Montreal"," CA","November 8",1979
"1442","4,301,007","Canadian Liquid Air Ltd./Air Liquide Canada Ltee.","Montreal"," CA","September 22",1980
"1443","5,061,377","Canadian Liquid Air Ltd.","Montreal"," CA","       July 25",1989
"1444","4,192,740","Canadian Liquid Air Ltd.","Montreal"," CA","       May 11",1978
"1445","4,854,972","Canadian Liquid Air Ltd.","Montreal"," CA","       June 23",1987
"1446","5,226,931","Canadian Liquid Air Ltd. -Air Liquide Canada Ltee.","Montreal"," CA","       October 24",1991
"1447","4,021,493","Canadian International Paper Company ","Montreal"," CA","       September 8",1975
"1448","3,996,079","Canadian Industries, Ltd.","Montreal"," CA","       December 3",1974
"1449","3,987,151","Canadian Industries, Ltd.","Montreal"," CA","       March 20",1975
"1450","3,953,582","Canadian Industries, Ltd.","Montreal"," CA","       March 21",1975
"1451","4,026,738","Canadian Industries, Ltd.","Montreal"," CA","       April 19",1976
"1452","3,995,673","Canadian Industries, Ltd.","Montreal"," CA","       February 6",1975
"1453","3,970,628","Canadian Industries, Ltd.","Montreal"," CA","       January 30",1974
"1454","4,124,492","Canadian Industries Limited ","Montreal"," CA","       September 1",1977
"1455","4,124,492","Tricil Limited ","Montreal"," CA","       September 1",1977
"1456","4,213,958","Canadian Industries Limited ","Montreal"," CA","       November 14",1977
"1457","4,308,081","Canadian Industries Limited ","Montreal"," CA","       November 26",1979
"1458","4,199,262","Canadian Industries Limited ","Montreal"," CA","       March 13",1979
"1459","4,198,253","Canadian Industries Limited ","Montreal"," CA","       December 11",1978
"1460","4,130,449","Canadian Industries Limited ","Montreal"," CA","       May 22",1978
"1461","4,305,859","Canadian Industries Limited ","Montreal"," CA","       October 23",1979
"1462","4,215,027","Canadian Industries Limited ","Montreal"," CA","       September 7",1977
"1463","7,049,092","Canadian Gene Cure Foundation ","Vancouver"," CA","       October 13",2000
"1464","4,264,617","Canada Packers, Limited ","Toronto"," CA","May 25",1978
"1465","4,264,617","The Institute of Microbiology and Hygiene of the University of Montreal ","Ville Laval"," CA","May 25",1978
"1466","4,065,571","Canada Packers Limited ","Toronto"," CA","       December 12",1975
"1467","4,065,571","The Institute of Microbiology and Hygiene of The University of Montreal ","Ville Laval"," CA","       December 12",1975
"1468","4,065,570","Canada Packers Limited ","Toronto"," CA","       December 12",1975
"1469","4,065,570","The Institute of Microbiology and Hygiene of The University of Montreal ","Ville Laval"," CA","       December 12",1975
"1470","4,013,770","Canada Packers Limited ","Toronto"," CA","       June 11",1974
"1471","4,013,770","The Institute of Microbiology and Hygiene of the University of Montreal ","Ville Laval"," CA","       June 11",1974
"1472","4,046,811","Canada Packers Limited ","Toronto"," CA","       May 19",1975
"1473","3,932,512","Canada Packers Limited ","Toronto"," CA","       September 14",1972
"1474","7,847,111","Canada Inc.","Montreal"," QC, CA","       June 19",2006
"1475","5,032,373","C-I-L, Inc.","Montreal"," CA","July 15",1988
"1476","4,331,081","C-I-L Inc.","Willowdale"," CA","       July 25",1980
"1477","4,357,184","C-I-L Inc.","North York"," CA","       November 25",1980
"1478","4,543,244","C-I-L Inc.","Montreal"," CA","       June 9",1983
"1479","4,243,443","C-I-L Inc.","Montreal"," CA","       June 4",1979
"1480","4,287,070","C-I-L Inc.","Montreal"," CA","       June 13",1980
"1481","4,279,754","C-I-L Inc.","Montreal"," CA","       June 13",1980
"1482","4,272,379","C-I-L Inc.","Montreal"," CA","       June 13",1980
"1483","4,272,375","C-I-L Inc.","Montreal"," CA","       June 13",1980
"1484","4,305,766","C-I-L Inc.","Montreal"," CA","       October 29",1979
"1485","4,683,298","British Columbia Research Council ","Vancouver"," CA","       February 21",1986
"1486","8,039,436","British Columbia Caner Agency Branch ","Vancouver"," CA","       May 30",2008
"1487","8,039,436","Adaerata, Limited Partnership ","Montreal"," CA","       May 30",2008
"1488","8,039,436","Valorisation-Recherche, Limited Partnership ","Montreal"," CA","       May 30",2008
"1489","8,039,436","RSEM, Limited Partnership ","Montreal"," CA","       May 30",2008
"1490","8,288,562","Bristol-Myers Squibb Company ","Princeton"," NJ","       May 25",2010
"1491","7,105,677","Bristol-Myers Squibb Company ","Princeton"," NJ","       September 23",2004
"1492","6,884,889","Bristol-Myers Squibb Co.","Princeton"," NJ","       March 24",2003
"1493","4,927,970","Bristol-Myers Company ","New York"," NY","       April 11",1988
"1494","4,895,939","Bristol-Myers Company ","New York"," NY","       June 14",1988
"1495","4,772,683","Bristol-Myers Company ","New York"," NY","       February 24",1986
"1496","4,385,175","Bristol-Myers Company ","New York"," NY","       March 22",1982
"1497","4,171,438","Bristol-Myers Company ","New York"," NY","       July 27",1978
"1498","4,118,566","Bristol-Myers Company ","New York"," NY","       January 27",1977
"1499","4,068,066","Bristol-Myers Company ","New York"," NY","       September 23",1976
"1500","4,065,622","Bristol-Myers Company ","New York"," NY","       September 23",1976
"1501","4,013,648","Bristol-Myers Company ","New York"," NY","       July 23",1975
"1502","3,931,188","Bristol-Myers Company ","New York"," NY","       May 6",1974
"1503","4,157,340","Bristol-Meyers Company ","New York"," NY","       June 27",1978
"1504","7,749,961","Boehringer Ingelheim International GmbH ","Ingelheim"," DE","       January 19",2005
"1505","7,585,845","Boehringer Ingelheim International GmbH ","Ingelheim"," DE","       May 20",2004
"1506","7,582,770","Boehringer Ingelheim International GmbH ","Ingelheim"," DE","       February 18",2005
"1507","7,386,398","Boehringer Ingelheim International GmbH ","Ingelheim"," DE","       May 7",2004
"1508","7,223,785","Boehringer Ingelheim International GmbH ","Ingelheim"," DE","       January 12",2004
"1509","7,208,309","Boehringer Ingelheim International GmbH ","Ingelheim"," DE","       October 28",2003
"1510","8,198,458","Boehringer Ingelheim International GmbH ","Ingelheim am Rhein"," DE","       February 3",2009
"1511","8,076,365","Boehringer Ingelheim International GmbH ","Ingelheim am Rhein"," DE","       August 3",2006
"1512","8,067,438","Boehringer Ingelheim International GmbH ","Ingelheim am Rhein"," DE","       April 1",2011
"1513","8,039,638","Boehringer Ingelheim International GmbH ","Ingelheim am Rhein"," DE","       December 3",2007
"1514","8,030,309","Boehringer Ingelheim International GmbH ","Ingelheim am Rhein"," DE","       September 27",2010
"1515","7,956,068","Boehringer Ingelheim International GmbH ","Ingelheim am Rhein"," DE","       November 3",2008
"1516","7,939,667","Boehringer Ingelheim International GmbH ","Ingelheim am Rhein"," DE","       June 21",2007
"1517","7,939,545","Boehringer Ingelheim International GmbH ","Ingelheim am Rhein"," DE","       May 9",2007
"1518","7,897,622","Boehringer Ingelheim International GmbH ","Ingelheim am Rhein"," DE","       August 10",2007
"1519","7,879,851","Boehringer Ingelheim International GmbH ","Ingelheim am Rhein"," DE","       February 17",2009
"1520","7,816,348","Boehringer Ingelheim International GmbH ","Ingelheim am Rhein"," DE","       January 29",2007
"1521","7,705,146","Boehringer Ingelheim International GmbH ","Ingelheim am Rhein"," DE","       June 22",2005
"1522","7,582,766","Boehringer Ingelheim International GmbH ","Ingelheim am Rhein"," DE","       June 7",2004
"1523","7,655,394","Boehringer Ingelheim International GmbH ","Ingelheim am Rhein"," DE","       October 27",2006
"1524","7,888,363","Boehringer Ingelheim International GmbH ","DE","DE","       February 7",2007
"1525","4,021,551","Boehringer Ingelheim GmbH ","Ingelheim am Rhein"," DT","       July 30",1975
"1526","4,344,946","Boehringer Ingelheim GmbH ","Ingelheim am Rhein"," DE","       August 28",1980
"1527","7,807,670","Boehringer Ingelheim Canada Ltd.","Laval"," Quebec, CA","       November 13",2008
"1528","6,313,095","Boehringer Ingelheim ","Canada","Canada","       October 6",1994
"1529","6,313,095",", Ltd.","Laval"," CA","       October 6",1994
"1530","5,700,780","Boehringer Ingelheim ","Canada","Canada","       October 11",1995
"1531","5,700,780",", Ltd.","Laval"," CA","       October 11",1995
"1532","7,576,079","Boehringer Ingelheim ","Canada","Canada","       January 17",2006
"1533","7,576,079"," Ltd.","Laval"," Quebec, CA","       January 17",2006
"1534","7,167,801","Boehringer Ingelheim ","Canada","Canada","       July 11",2002
"1535","7,167,801"," Ltd.","Laval"," CA","       July 11",2002
"1536","6,825,176","Boehringer Ingelheim ","Canada","Canada","       February 5",2003
"1537","6,825,176"," Ltd.","Laval"," CA","       February 5",2003
"1538","7,294,457","Boehringer Ingelheim ","Canada","Canada","       August 2",2002
"1539","7,294,457"," Ltd.","Laval"," CA","       August 2",2002
"1540","6,852,501","Boehringer Ingelheim ","Canada","Canada","       October 24",2001
"1541","6,852,501"," Ltd.","Laval"," CA","       October 24",2001
"1542","6,492,181","Boehringer Ingelheim ","Canada","Canada","       June 16",2000
"1543","6,492,181"," Ltd.","Laval"," CA","       June 16",2000
"1544","6,514,640","Board of Regents, The University of Texas System ","Austin"," TX","       December 24",1997
"1545","5,501,730","Bitumar R. & D.","Montreal"," CA","       December 30",1993
"1546","5,270,361","Bitumar R. & D. (2768836 Canada Inc.","2768836 Canada Inc.","2768836 Canada Inc.","       September 4",1992
"1547","5,270,361"," ","Montreal"," CA","       September 4",1992
"1548","5,580,241","Biothermica International Inc.","Montreal"," CA","       April 17",1995
"1549","5,626,830","Biotech Cardio-Vision, Societe en Commandite Enregistree ","Montreal"," CA","       May 31",1994
"1550","8,119,607","Biota Scientific Management Pty Ltd ","Notting Hill"," AU","       July 1",2009
"1551","7,763,425","Biosystemix Ltd.","Ontario"," CA","       April 27",2007
"1552","7,763,425","Universite de Montreal ","Quebec"," CA","       April 27",2007
"1553","7,098,194","Biosyntech Canada, Inc.","Laval"," CA","       November 15",2002
"1554","5,389,248","Bioremetek, Inc.","Montreal"," CA","       May 21",1993
"1555","6,031,071","Biophage, Inc.","Montreal"," CA","       January 24",1996
"1556","6,022,683","Biophage, Inc.","Montreal"," CA","       January 24",1996
"1557","7,200,531","Bionicrie Life Sciences, Inc.","Belleville"," CA","       August 19",2002
"1558","7,199,228","Bioniche Life Sciences, Inc ","Belleville"," Ontario, CA","       August 19",2002
"1559","8,350,016","Bioniche Life Sciences Inc.","Belleville"," Ontario, CA","       February 7",2011
"1560","7,893,242","Bioniche Life Sciences Inc.","Belleville"," Ontario, CA","       January 24",2007
"1561","5,807,870","BioMega Boehringer Ingelheim Research Ltd.","Laval"," CA","       December 11",1996
"1562","5,502,036","BioMega Boehringer Ingelheim Research Inc.","Laval"," CA","       March 9",1994
"1563","7,588,632","BioMatera inc.","CA","CA","       January 23",2003
"1564","6,664,245","BioMat Sciences, Inc.","Rockville"," MD","       January 10",2003
"1565","6,444,724","BioMat Sciences, Inc.","Rockville"," MD","       December 20",1999
"1566","6,645,952","Biomat Sciences, Inc.","Rockville"," MD","       February 20",2001
"1567","6,605,651","Biomat Sciences, Inc.","Rockville"," MA","       September 8",1999
"1568","7,264,799","BioMarin Pharmaceutical Inc.","Novato"," CA","       February 22",2006
"1569","7,897,139","Biochrom Pharma, Inc.","Westmount"," Quebec, CA","       August 17",2007
"1570","5,945,431","Biochem Therapeutics Incorporated ","Quebec"," CA","       September 4",1997
"1571","6,444,656","BioChem Pharma, Inc.","Quebec"," CA","       March 24",2000
"1572","6,369,066","BioChem Pharma, Inc.","Quebec"," CA","       November 28",2000
"1573","6,630,488","Biochem Pharma, Inc.","Quebec"," CA","       March 20",2001
"1574","6,541,625","BioChem Pharma, Inc.","Laval"," CA","       February 9",2001
"1575","5,763,606","BioChem Pharma, Inc.","Laval"," CA","       February 2",1995
"1576","5,663,320","BioChem Pharma, Inc.","Laval"," CA","       June 5",1995
"1577","5,587,480","BioChem Pharma, Inc.","Laval"," CA","       April 20",1994
"1578","5,312,899","BioChem Pharma, Inc.","Laval"," CA","       June 30",1989
"1579","6,743,910","Biochem Pharma, Inc.","Laval"," CA","       February 24",2003
"1580","6,054,474","Biochem Pharma, Inc.","Laval"," CA","       March 25",1998
"1581","5,990,104","Biochem Pharma, Inc.","Laval"," CA","       March 25",1998
"1582","6,605,614","BioChem Pharma Inc.","Quebec"," CA","       December 27",2001
"1583","6,069,250","Biochem Pharma Inc.","Quebec"," CA","       February 17",1999
"1584","6,903,224","BioChem Pharma Inc.","Laval"," CA","       February 12",2002
"1585","6,274,620","BioChem Pharma Inc.","Laval"," CA","       June 7",2000
"1586","6,175,008","BioChem Pharma Inc.","Laval"," CA","       June 6",1995
"1587","5,756,706","BioChem Pharma Inc.","Laval"," CA","       May 13",1994
"1588","5,696,254","BioChem Pharma Inc.","Laval"," CA","       June 13",1994
"1589","5,693,787","BioChem Pharma Inc.","Laval"," CA","       June 5",1995
"1590","5,684,164","BioChem Pharma Inc.","Laval"," CA","       June 6",1995
"1591","5,606,037","BioChem Pharma Inc.","Laval"," CA","       March 10",1995
"1592","5,270,315","BioChem Pharma Inc.","Laval"," CA","       March 7",1991
"1593","6,747,036","BioChem Pharma Inc.","Laval"," CA","       January 16",2002
"1594","6,228,860","Biochem Pharma Inc.","Laval"," CA","       November 26",1996
"1595","6,057,314","Biochem Pharma Inc.","Laval"," CA","       June 23",1997
"1596","5,922,867","Biochem Pharma Inc.","Laval"," CA","       June 26",1997
"1597","5,744,596","Biochem Pharma Inc.","Laval"," CA","       June 5",1995
"1598","5,736,523","Biochem Pharma Inc.","Laval"," CA","       March 10",1995
"1599","5,593,970","Biochem Pharma Inc.","Laval"," CA","       June 20",1994
"1600","5,466,806","Biochem Pharma Inc.","Laval"," CA","       March 29",1993
"1601","6,630,480","Biochem Pharma Inc.","Laval"," CA","       March 28",2000
"1602","5,994,361","Biochem Pharma ","CA","CA","       June 7",1995
"1603","5,427,792","BioChem Immunosystems, Inc.","Montreal"," CA","       August 7",1992
"1604","5,348,946","Biochem Immunosystems, Inc.","Montreal"," CA","       August 28",1991
"1605","5,359,029","Biochem Immunosystems Inc.","Montreal"," CA","       March 20",1991
"1606","5,298,596","Biochem Immunosystems Inc.","Montreal"," CA","       March 13",1992
"1607","5,338,677","Biochem Immunosystems Inc.","Montreal"," CA","       March 20",1991
"1608","5,262,325","Biochem Immunosystems Inc.","Montreal"," CA","       March 13",1992
"1609","7,820,047","BioCAST Systems Inc.","Montreal"," Quebec, CA","       October 3",2005
"1610","7,795,218","Bioaxone Therapeutique Inc.","Montreal"," CA","       June 12",2007
"1611","7,790,459","Bioaxone Therapeutique Inc.","Montreal"," CA","       June 12",2007
"1612","7,572,913","Bioaxone Therapeutique Inc.","CA","CA","       February 24",2005
"1613","7,351,787","Bioartificial Gel Technologies, Inc.","Montreal"," Quebec, CA","       March 3",2005
"1614","7,125,558","Bioartificial Gel Technologies Inc, ","Montreal"," CA","       August 22",2002
"1615","7,938,981","Bioamber S.A.S.","FR","FR","       September 24",2010
"1616","7,674,285","Bioabsorbable Therapeutics, Inc.","Menlo Park"," CA","       June 12",2009
"1617","5,672,586","Bio-Mega/Boehringer Ingelheim Research, Inc.","Quebec"," CA","       June 18",1996
"1618","5,484,771","Bio-Mega/Boehringer Ingelheim Research Inc.","Quebec"," CA","       March 29",1994
"1619","5,648,337","Bio-Mega/Boehringer Ingelheim Research Inc.","Laval"," CA","       July 13",1993
"1620","5,523,315","Bio-Mega/Boehringer Ingelheim Research Inc.","Laval"," CA","       September 20",1993
"1621","5,258,493","Bio-Mega/Boehringer Ingelheim Research Inc.","Laval"," CA","       March 16",1992
"1622","5,354,767","Bio-Mega, Inc.","Laval"," CA","       December 10",1992
"1623","5,212,157","Bio-Mega, Inc.","Laval"," CA","       June 6",1989
"1624","5,198,425","Bio-Mega, Inc.","Laval"," CA","       June 18",1992
"1625","5,149,778","Bio-Mega, Inc.","Laval"," CA","       July 3",1990
"1626","5,126,326","Bio-Mega, Inc.","Laval"," CA","       June 6",1989
"1627","5,071,835","Bio-Mega Inc.","Laval"," CA","       February 1",1990
"1628","4,891,358","Bio-Mega Inc.","Laval"," CA","       December 15",1988
"1629","5,552,384","Bio-Mega Boehringer Ingelheim Research Inc.","Laval"," CA","       June 6",1994
"1630","6,340,690","Bio-Chem Pharma Inc.","Quebec"," CA","       February 22",2000
"1631","6,344,488","Bio Syntech ","Laval"," CA","       February 12",1999
"1632","6,489,293","Beth Israel Deaconess Medical Center ","Boston"," MA","       March 6",2000
"1633","4,344,722","Bemalux Inc.","Montreal"," CA","       January 19",1981
"1634","4,567,115","Bell Canada ","Montreal"," CA","       July 30",1984
"1635","8,241,541","Bathium Canada Inc.","Boucherville"," CA","       August 9",2007
"1636","7,314,971","BASF Plant Science GmbH ","Research Triangle Park"," NC","       January 15",2003
"1637","RE33,291","BASF Corporation ","Parsippany"," NJ","       May 3",1985
"1638","5,650,500","Barbara Ann Karmanos Cancer Institute ","Detroit"," MI","       July 27",1994
"1639","4,183,955","Ayerst.","Montreal"," CA","       August 31",1978
"1640","4,132,710","Ayerst, McKenna and Harrison, Ltd.","Montreal"," CA","       December 20",1976
"1641","4,316,885","Ayerst, McKenna and Harrison, Inc.","Montreal"," CA","       August 25",1980
"1642","4,066,784","Ayerst, McKenna and Harrison Ltd.","Montreal"," CA","       June 17",1976
"1643","4,066,779","Ayerst, McKenna and Harrison Ltd.","Montreal"," CA","       October 28",1976
"1644","3,978,066","Ayerst, McKenna and Harrison Ltd.","Montreal"," CA","       May 19",1975
"1645","3,950,343","Ayerst, McKenna and Harrison Ltd.","Montreal"," CA","       November 6",1973
"1646","4,161,608","Ayerst, McKenna and Harrison Limited ","Montreal"," CA","       January 27",1978
"1647","4,152,457","Ayerst, McKenna and Harrison Limited ","Montreal"," CA","       October 11",1977
"1648","4,152,456","Ayerst, McKenna and Harrison Limited ","Montreal"," CA","       October 7",1977
"1649","4,140,779","Ayerst, McKenna and Harrison Limited ","Montreal"," CA","       May 19",1976
"1650","4,521,534","Ayerst, McKenna & Harrison, Ltd.","Montreal"," CA","       December 19",1983
"1651","4,521,423","Ayerst, McKenna & Harrison, Ltd.","Montreal"," CA","       October 31",1983
"1652","4,401,656","Ayerst, McKenna & Harrison, Ltd.","Montreal"," CA","       September 22",1980
"1653","4,370,341","Ayerst, McKenna & Harrison, Ltd.","Montreal"," CA","       December 11",1980
"1654","RE30,496","Ayerst, McKenna & Harrison, Ltd.","Montreal"," CA","       February 26",1979
"1655","4,132,709","Ayerst, McKenna & Harrison, Ltd.","Montreal"," CA","       December 20",1976
"1656","4,131,745","Ayerst, McKenna & Harrison, Ltd.","Montreal"," CA","       November 18",1977
"1657","4,105,778","Ayerst, McKenna & Harrison, Ltd.","Montreal"," CA","       September 8",1977
"1658","4,705,882","Ayerst, McKenna & Harrison, Inc.","Montreal"," CA","March 28",1986
"1659","4,604,406","Ayerst, McKenna & Harrison, Inc.","Montreal"," CA","       November 16",1984
"1660","4,600,724","Ayerst, McKenna & Harrison, Inc.","Montreal"," CA","July 17",1985
"1661","4,568,693","Ayerst, McKenna & Harrison, Inc.","Montreal"," CA","       September 9",1983
"1662","4,522,946","Ayerst, McKenna & Harrison, Inc.","Montreal"," CA","       June 13",1983
"1663","4,510,157","Ayerst, McKenna & Harrison, Inc.","Montreal"," CA","       December 27",1982
"1664","4,499,310","Ayerst, McKenna & Harrison, Inc.","Montreal"," CA","       June 22",1983
"1665","4,492,697","Ayerst, McKenna & Harrison, Inc.","Montreal"," CA","       August 16",1983
"1666","4,469,695","Ayerst, McKenna & Harrison, Inc.","Montreal"," CA","       February 25",1980
"1667","4,446,150","Ayerst, McKenna & Harrison, Inc.","Montreal"," CA","       September 21",1982
"1668","4,382,088","Ayerst, McKenna & Harrison, Inc.","Montreal"," CA","       August 21",1981
"1669","4,381,304","Ayerst, McKenna & Harrison, Inc.","Montreal"," CA","       August 21",1981
"1670","4,304,772","Ayerst, McKenna & Harrison, Inc.","Montreal"," CA","       December 19",1980
"1671","4,230,692","Ayerst, McKenna & Harrison, Inc.","Montreal"," CA","       March 13",1981
"1672","4,379,926","Ayerst, McKenna & Harrison Ltd.","Montreal"," CA","       May 8",1978
"1673","4,346,090","Ayerst, McKenna & Harrison Ltd.","Montreal"," CA","       July 21",1977
"1674","4,089,898","Ayerst, McKenna & Harrison Ltd.","Montreal"," CA","       November 11",1976
"1675","4,070,482","Ayerst, McKenna & Harrison Ltd.","Montreal"," CA","       October 27",1976
"1676","4,057,556","Ayerst, McKenna & Harrison Ltd.","Montreal"," CA","       June 17",1976
"1677","4,171,443","Ayerst, McKenna & Harrison Limited ","Montreal"," CA","       May 8",1978
"1678","4,130,649","Ayerst, McKenna & Harrison Limited ","Montreal"," CA","       April 21",1977
"1679","4,125,625","Ayerst, McKenna & Harrison Limited ","Montreal"," CA","       May 31",1977
"1680","4,118,511","Ayerst, McKenna & Harrison Limited ","Montreal"," CA","       November 18",1977
"1681","4,118,394","Ayerst, McKenna & Harrison Limited ","Montreal"," CA","       August 8",1977
"1682","4,118,380","Ayerst, McKenna & Harrison Limited ","Montreal"," CA","       July 25",1977
"1683","4,110,468","Ayerst, McKenna & Harrison Limited ","Montreal"," CA","       October 7",1977
"1684","4,108,997","Ayerst, McKenna & Harrison Limited ","Montreal"," CA","       December 20",1976
"1685","4,100,343","Ayerst, McKenna & Harrison Limited ","Montreal"," CA","November 11",1976
"1686","4,081,530","Ayerst, McKenna & Harrison Limited ","Montreal"," CA","       June 4",1975
"1687","4,056,538","Ayerst, McKenna & Harrison Limited ","Montreal"," CA","       October 18",1976
"1688","4,470,990","Ayerst, McKenna & Harrison Inc.","Montreal"," CA","       March 14",1983
"1689","4,469,694","Ayerst, McKenna & Harrison Inc.","Montreal"," CA","       February 25",1980
"1690","4,469,693","Ayerst, McKenna & Harrison Inc.","Montreal"," CA","       February 25",1980
"1691","4,454,150","Ayerst, McKenna & Harrison Inc.","Montreal"," CA","       October 19",1981
"1692","4,439,617","Ayerst, McKenna & Harrison Inc.","Montreal"," CA","       November 13",1981
"1693","4,431,657","Ayerst, McKenna & Harrison Inc.","Montreal"," CA","       May 24",1982
"1694","4,391,825","Ayerst, McKenna & Harrison Inc.","Montreal"," CA","       November 13",1981
"1695","4,391,816","Ayerst, McKenna & Harrison Inc.","Montreal"," CA","       November 13",1981
"1696","4,369,188","Ayerst, McKenna & Harrison Inc.","Montreal"," CA","       July 17",1981
"1697","4,337,265","Ayerst, McKenna & Harrison Inc.","Montreal"," CA","       August 21",1981
"1698","4,254,121","Ayerst, McKenna & Harrison Inc.","Montreal"," CA","       August 13",1979
"1699","4,254,118","Ayerst, McKenna & Harrison Inc.","Montreal"," CA","       August 13",1979
"1700","4,254,109","Ayerst, McKenna & Harrison Inc.","Montreal"," CA","       November 8",1979
"1701","4,254,108","Ayerst, McKenna & Harrison Inc.","Montreal"," CA","       November 8",1979
"1702","4,375,463","Ayerst, McKenna & Harrison Inc.","Montreal"," CA","       November 19",1981
"1703","4,408,077","Ayerst, McKeena & Harrison, Inc.","Montreal"," CA","       November 13",1981
"1704","4,071,552","Ayerst McKenna and Harrison Ltd.","Montreal"," CA","       May 19",1976
"1705","4,066,780","Ayerst McKenna and Harrison Ltd.","Montreal"," CA","       October 28",1976
"1706","4,066,763","Ayerst McKenna and Harrison Ltd.","Montreal"," CA","       December 13",1976
"1707","4,062,851","Ayerst McKenna and Harrison Ltd.","Montreal"," CA","       November 26",1975
"1708","4,060,619","Ayerst McKenna and Harrison Ltd.","Montreal"," CA","       January 14",1976
"1709","4,060,613","Ayerst McKenna and Harrison Ltd.","Montreal"," CA","       May 19",1976
"1710","4,059,585","Ayerst McKenna and Harrison Ltd.","Montreal"," CA","       July 27",1976
"1711","4,056,537","Ayerst McKenna and Harrison Ltd.","Montreal"," CA","       October 18",1976
"1712","4,041,169","Ayerst McKenna and Harrison Ltd.","Montreal"," CA","       October 28",1976
"1713","4,036,856","Ayerst McKenna and Harrison Ltd.","Montreal"," CA","       November 11",1976
"1714","4,035,495","Ayerst McKenna and Harrison Ltd.","Montreal"," CA","       February 10",1975
"1715","4,020,157","Ayerst McKenna and Harrison Ltd.","Montreal"," CA","       July 8",1975
"1716","4,018,912","Ayerst McKenna and Harrison Ltd.","Montreal"," CA","       July 28",1975
"1717","4,006,136","Ayerst McKenna and Harrison Ltd.","Montreal"," CA","       July 19",1974
"1718","4,004,027","Ayerst McKenna and Harrison Ltd.","Montreal"," CA","       January 28",1975
"1719","4,003,913","Ayerst McKenna and Harrison Ltd.","Montreal"," CA","       March 5",1975
"1720","4,003,902","Ayerst McKenna and Harrison Ltd.","Montreal"," CA","       June 20",1974
"1721","3,995,052","Ayerst McKenna and Harrison Ltd.","Montreal"," CA","       May 19",1975
"1722","3,985,751","Ayerst McKenna and Harrison Ltd.","Montreal"," CA","       October 29",1974
"1723","3,983,231","Ayerst McKenna and Harrison Ltd.","Montreal"," CA","       June 26",1975
"1724","3,962,236","Ayerst McKenna and Harrison Ltd.","Montreal"," CA","       May 28",1974
"1725","4,170,653","Ayerst McKenna and Harrison Limited ","Montreal"," CA","       September 1",1977
"1726","4,252,795","Ayerst McKenna and Harrison Inc.","Montreal"," CA","       September 11",1978
"1727","4,244,947","Ayerst McKenna and Harrison Inc.","Montreal"," CA","       August 13",1979
"1728","4,307,092","Ayerst McKenna & Harrison, Inc.","Montreal"," CA","       July 22",1980
"1729","4,188,389","Ayerst McKenna & Harrison, Inc.","Montreal"," CA","       November 3",1978
"1730","4,176,006","Ayerst McKenna & Harrison, Inc.","Montreal"," CA","       November 3",1978
"1731","4,198,426","Ayerst McKenna & Harrison Ltd.","Montreal"," CA","       January 29",1979
"1732","4,177,284","Ayerst McKenna & Harrison Ltd.","Montreal"," CA","       November 28",1977
"1733","4,128,560","Ayerst McKenna & Harrison Ltd.","Montreal"," CA","       April 12",1976
"1734","4,093,713","Ayerst McKenna & Harrison Ltd.","Montreal"," CA","       February 28",1977
"1735","4,054,741","Ayerst McKenna & Harrison Ltd.","Montreal"," CA","       June 21",1976
"1736","4,054,569","Ayerst McKenna & Harrison Ltd.","Montreal"," CA","       May 17",1976
"1737","4,012,511","Ayerst McKenna & Harrison Ltd.","Montreal"," CA","       July 7",1975
"1738","4,010,260","Ayerst McKenna & Harrison Ltd.","Montreal"," CA","       July 28",1975
"1739","4,189,490","Ayerst McKenna & Harrison Limited ","Montreal"," CA","       January 29",1979
